id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
30146674,16702,1824,1,1116,2581,4,34,97,27,19.0,19.0,2,5,5,52.3783,4.88826,50,1,2,1.0,1.0,1.0,6,57.0,2,1125,0,20,48,70,337,14,7,1,85.0,9.0,9.0,9.0,9.0,10.0,9.0,18,10,1,0,0.61
30151025,4892,8260,0,1390,8748,1,49,62,60,4.0,4.0,0,18,18,52.35555,4.840409999999999,27,2,2,1.5,1.0,1.0,21,70.0,1,10,0,0,0,0,0,2,0,0,100.0,10.0,10.0,10.0,10.0,8.0,9.0,2,1,1,0,0.09
30152149,1162,12665,0,966,8748,1,49,2,49,1.0,1.0,2,7,7,52.37005,4.87418,7,0,4,1.0,2.0,2.0,22,150.0,4,22,0,0,0,0,0,1,1,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.11
30153529,5702,4059,0,1932,760,1,49,2,79,2.0,2.0,0,7,7,52.35866,4.85837,7,0,2,1.0,,1.0,16,80.0,5,14,0,0,0,0,0,1,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,2,2,0,0,0.04
30165800,10269,7747,2,2747,4695,1,49,98,1,1.0,1.0,2,16,16,52.40246,4.90402,18,0,4,1.0,4.0,4.0,35,249.0,2,25,0,0,0,0,0,3,0,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,1,1,0,0,0.14
30166212,3808,14524,4,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.37144,4.91118,21,0,2,1.0,,1.0,24,142.0,1,1125,0,25,45,61,326,5,4,2,84.0,8.0,10.0,7.0,8.0,9.0,8.0,8,8,0,0,0.37
30166284,16703,1823,1,1116,2581,4,34,97,27,19.0,19.0,2,5,5,52.37678,4.88965,50,1,2,1.0,1.0,1.0,5,51.0,2,1125,0,19,41,71,328,13,10,1,89.0,10.0,10.0,9.0,9.0,10.0,9.0,18,10,1,0,0.84
30166337,3807,14549,4,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.37105,4.9110000000000005,21,0,4,1.0,,3.0,24,102.0,1,1125,0,20,43,61,272,7,5,2,83.0,8.0,8.0,8.0,9.0,9.0,8.0,8,8,0,0,0.35
30166542,15787,14431,4,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.3711,4.909330000000001,21,0,2,1.0,,1.0,24,383.0,1,1125,0,18,48,72,338,3,2,0,73.0,9.0,8.0,10.0,9.0,9.0,8.0,8,8,0,0,0.17
30166652,93,15862,4,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.3724,4.90932,21,0,2,1.0,1.0,3.0,23,270.0,1,1125,0,1,1,1,1,3,3,0,60.0,7.0,9.0,9.0,9.0,9.0,7.0,8,8,0,0,1.05
30166752,6055,14569,0,1917,8748,1,49,98,49,1.0,1.0,2,20,20,52.38442,4.87967,7,0,2,1.0,1.0,1.0,14,90.0,7,10,0,0,0,0,0,0,0,0,,,,,,,,1,1,0,0,
30167615,121,14560,4,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.370740000000005,4.90911,21,0,4,1.0,1.0,2.0,24,108.0,1,1125,0,19,46,73,328,2,2,0,100.0,10.0,9.0,9.0,10.0,10.0,8.0,8,8,0,0,0.24
30167917,3312,15999,1,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.37117,4.90926,21,0,4,1.0,1.0,3.0,26,128.0,1,1125,0,1,1,1,1,101,60,4,88.0,8.0,9.0,9.0,9.0,9.0,9.0,8,8,0,0,4.72
30169594,320,13734,1,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.37121,4.9105,21,0,6,1.0,2.0,4.0,27,225.0,1,1125,0,1,1,1,1,7,5,1,69.0,5.0,8.0,9.0,10.0,9.0,7.0,8,8,0,0,0.44
30169743,211,13357,1,2751,8748,4,45,97,79,8.0,8.0,2,4,4,52.37117,4.9086,21,0,6,1.0,2.0,3.0,24,190.0,1,1125,0,29,57,82,350,52,26,0,86.0,9.0,9.0,9.0,9.0,9.0,8.0,8,8,0,0,2.45
