id,name,description,neighborhood_overview,host_since,host_about,host_response_time,host_response_rate,host_acceptance_rate,host_neighbourhood,host_listings_count,host_total_listings_count,host_identity_verified,neighborhood,neighborhood_group,latitude,longitude,property_type,room_type,accommodates,bathrooms_text,bedrooms,beds,amenities,price,minimum_nights,maximum_nights,has_availability,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month
8818893,227,682,2,552,1101,0,0,67,43,7.0,7.0,2,16,16,22.31045,114.17235,23,2,2,1.0,1.0,1.0,13,400.0,1,1125,0,28,58,88,363,39,0,0,90.0,10.0,9.0,9.0,10.0,10.0,9.0,7,0,7,0,0.64
8821534,2916,111,0,75,665,3,1,58,124,11.0,11.0,2,16,16,22.29616,114.17464,66,3,8,3.0,1.0,8.0,12,115.0,1,1125,0,0,0,6,8,49,2,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,15,0,6,7,0.81
8831109,2914,111,0,75,665,3,1,58,124,11.0,11.0,2,16,16,22.29697,114.17426,66,3,6,3.0,1.0,6.0,9,125.0,1,1125,0,0,0,6,8,53,0,0,94.0,10.0,10.0,10.0,10.0,10.0,9.0,15,0,6,7,1.06
8852111,5675,966,0,540,890,3,1,5,10,3.0,3.0,0,14,14,22.27952,114.18106999999999,5,0,8,2.0,3.0,6.0,12,1657.0,2,1125,0,30,60,90,365,125,1,0,96.0,10.0,10.0,10.0,10.0,10.0,10.0,3,3,0,0,2.05
8858198,1062,3737,2,509,1024,4,1,61,66,28.0,28.0,2,16,16,22.31681,114.16968,23,2,2,1.5,1.0,2.0,26,1164.0,2,1123,0,30,60,90,365,134,3,0,91.0,9.0,9.0,10.0,10.0,10.0,9.0,28,0,28,0,2.19
8858675,2075,3731,2,509,1024,4,1,61,66,28.0,28.0,2,16,16,22.31681,114.16968,23,2,2,1.0,1.0,2.0,22,1157.0,2,1123,0,29,59,89,364,52,0,0,91.0,9.0,9.0,10.0,10.0,10.0,9.0,28,0,28,0,0.86
8869406,6443,4264,0,158,1050,0,0,67,66,14.0,14.0,2,16,16,22.31455,114.1714,23,2,2,1.0,1.0,1.0,11,250.0,30,1125,0,30,60,90,365,0,0,0,,,,,,,,13,6,7,0,
8879476,5478,3149,0,555,890,4,1,65,138,14.0,14.0,0,2,2,22.21196,114.02762,34,2,2,1.0,1.0,1.0,6,409.0,1,1125,0,29,48,48,102,25,2,0,80.0,9.0,8.0,9.0,10.0,9.0,8.0,10,0,10,0,0.44
8892305,6329,272,0,563,890,1,56,67,66,1.0,1.0,0,3,3,22.31914,114.17576000000001,5,0,4,1.0,2.0,2.0,6,1580.0,10,31,0,27,57,87,87,13,0,0,82.0,9.0,9.0,9.0,9.0,9.0,9.0,1,1,0,0,0.22
8916209,3006,3411,0,434,830,2,46,13,40,23.0,23.0,2,16,16,22.3056,114.17181000000001,23,2,1,2.0,1.0,4.0,24,350.0,28,1125,0,29,59,89,364,64,1,0,93.0,10.0,9.0,10.0,10.0,10.0,10.0,15,1,8,6,1.05
